,rating,rating_title,rating_description,rating_pros,rating_cons
927,5.0,Good place to prove yourself,Just prove yourself whenever u get chance and nice support from higher management and friendly environment.Everyday is most enjoyable part in google at work,,[]
928,5.0,Good to work there,Very friendly environment with supportive management.. Hard to leave the job but personal issues makes me to take the decision.Had very good experience working with google devices and excited to work with different devices which not even released in the market.,,[]
929,3.0,Telenetwork was a good company to work for.,I did like troubleshooting for Google fiber customers.  The job itself was rewarding and I liked the company.  The pros outweighed the cons of working there.,,[]
930,4.0,"Great people, volatile environment for projects",Smartest nicest people I have worked with. I am told this can vary from one group to another. A lot of work is expected and the standards for code clarity and format are very high to pass a code review.,,[]
931,5.0,Fun place to work,"Google was a great experience, So many people from all walks of life joining together for one common goal. Provide the world with excellent service and Support.",,[]
932,5.0,Great Experience,I found my time to be extremely pleasant!  The teams worked very closely together and management was very supportive.  The campus has everything you need to enjoy the workday and stay productive.,,[]
933,5.0,"Relaxed, open workspace open to collaboration","My experience at google was overall very good. Even though I was an intern I was treated as if I were a full-time employee. My coworkers were open to helping me with problems I had, and the work was challenging but achievable. The campus is large and had many varied places employee's could eat and relax at. The offices were well lit and fostered collaboration in their open design.","Free Breakfast, Lunch and Dinner, free transportation.",[]
934,4.0,Exciting place to work,My work experience has been very great. Very collaborative environment and promote innovation. Working tools were different from most that I already was familiar with.,,[]
935,5.0,I enjoyed my time there,"Google was where I always wanted to work and it was about what I expected.  Headcount is difficult to get and you have a ton of freedom.  That said, they work you to death.",,[]
936,3.0,great people,Over all it has a buzz that is motivating. But it also has more of a robotic feel for your job. I can work much faster in a Start-up environment. I would have liked to have been able to show my work style.,,[]
937,5.0,Cool place to work,"The investment in people is huge - they really do care about you. Attending multiple large scale conferences, world class sales training days and having access to modern equipment really made the job special.",,[]
938,5.0,Productive and fun place to work,Google is a great place to work with many challenging projects ongoing that change the way people use the web and see the world. Working there afforded me the opportunity to work with some excellent talent and share my knowledge and capabilities as well as learning from others in a collaborative manner.,,[]
939,5.0,Fun and exciting place to work!,As a surveyor our week typically started on Sunday.  We would get a call or message sometime during the weekend to confirm where and what time we need to be on Sunday.  Sundays were our day to start travel so we could be ready to go on Monday morning.  We usually worked 10-12 hour days considering some of your time your driving or waiting on clients.  Over time was no problem getting and you probably couldn't tell you worked so many hours based on how long you had to travel for work.  Great job.,Lots of travel,[]
940,4.0,Ask upon request,Ask upon request  otherwise strong company. Tons of stress and high demands everyday it could be your last or the best day of your life . Overall amazing company with high expectations,,[]
941,5.0,Grande azienda,Ottimo ambiente lavorativo . Concrete possibilità di carriera,,[]
942,4.0,Team oriented job with lax environment,Loved working in set teams for projects. The overall setup for the data analytics teams was very stress free and all available project managers were extremely kind. The opportunity to be involved with multiple projects enriched my skill sets in working with others as well as data management.,"Free lunches, team building activities",[]
943,5.0,Cleaning Google could never sound as fun as it actually was.,"I was about 22. Needed a job. A cleaning company contacted me. They told me they wanted to work from them. Google was the place they wanted me to clean. Nice and simple hours, Monday through Friday. The actually Googlers were very much nice people and rather clean people as well. They made me feel extremely welcome and even invited me to their private events after I clocked out of work. I'd for sure work there again if I had the opportunity.","Free food, great people",[]
944,5.0,Harika!,Çok kazanacağınız harika işler için doğru adrestesiniz!,"Kullanımı kolay ve pratik, hızlı sonuca ulaştıran...",[]
945,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
946,5.0,Google Internship,"The experience was magical, there are so many included benefits in being a googler that it's amazing they still turn a profit! the team i worked with was amazing, what became interesting is that the team i was on was split between locations and we spent a lot of time over video call, but otherwise it was a great experience!",,[]
947,5.0,"Productive, and fun work place with plenty of room to grow","It was truly a wonderful experience at Google, the staff was wonderful, and the managers really did try their best to meet with their employees needs.",Benefits,[]
948,5.0,Fun WorkPlace,"Great Working Place, Great staff. Very useful company to change your life fiscally and psychology about advertising and marketing. Is completely different how they work.",,[]
949,5.0,Creative and feel really excited to work there.,People work there is pretty clever and they are eager to help new co-workers. When I encountered some difficulty they will be patient to help me find the wrong place and that made me learn many things.,,[]
950,5.0,Employee Friendly Environment,Excellent place to work with amazing perks for employees. Multiple learning opportunities across different tools along with growth opportunities within Google.,,[]
951,5.0,productive work place,"awesome place to work for. Created a well-supported, cohesive business partnership by collaborating with three global sales finance verticalsincluding Americas LCS, Enterprise and SMB",,[]
952,2.0,Poor management,My trainer for the position i was filling was not very knowledgeable. Kept changing the policy. Casual attire not business was allowed in the office. The free food was great.,,[]
953,4.0,Loved being in the middle of innovation,"As a contractor you are treated a lot differently than an employee.  Very competitive environment where the full timers take your ideas and run with it as their own.  As a contractor you don’t get all the great benefits that the employees do, Making a culture clash between FTEs and Contractors.  However the work was easy and pay was good.  Too many MBAs With little to no work experience makes it hard to really make impact.  I felt like some things were truly innovative while others they were trying to recreate the wheel.  It was a great experience overalls",,[]
954,3.0,N/a,S.M.X was under Google express. The job itself was ok but the people weren't always as pleasant. all-round it was and an ok job at the time because of the salary it was 16 an hour.,,[]
955,5.0,Fun environment with hard workers,"I was only there a short time, but enjoyed the culture, autonomy and work environment. Google also clearly seeks to be a good neighbor to its surroundings.",,[]
956,3.0,Third Party Google Employment,"I worked for a third party SEM company that handled existing Google AdWord customers and their accounts. The management in the third party corporation is NOT Google and they treat employees like numbers. The manager who fired me had never met me and cared very little about my extenuating circumstances leading to my APPROVED time off. Why would management approve time off and then terminate based upon this instance? She looked at my sales goals not being met against a full month; in which I was not present due to, again, approved time off. Then terminated my employment based upon this. She is no longer manager or working for the company.",,[]
957,4.0,Working at google,Working for google listings was relevdntly easy as i got two sales the first hour i stepped on the floor. However i feel the job was a scam becuase they were charging people alot extra and my salary was not revised by a proper amount compared to the amount recieved.,,[]
958,4.0,Amazing Technology,I worked a contract job at Google as operation support I didn't have to go to allow the meetings but there is very meeting intensive lot of long hours quick quick and ambiguous direction is definitely not for people who are used to Long steady pace.,,[]
959,5.0,Productive and fun workplace,"Despite the long commute from SF, the facilities and workplace culture are worth the travel time.In addition to the state of the art facilities, the type of work is interesting and ahead of the industry.","Complimentary lunches, gym, laundry facilities",[]
960,5.0,Great Company to work for,"I am very pleased with Google as an employer.  I would recommend them to anyone.  They created a fun atmosphere, which is very important to maintain a relaxed work environment, which makes work easier.",Great products to promote,[]
961,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,[]
962,5.0,Best Co to work for,Great Place to work n grow.Get to learn new technologies.Takes care of employees to large extent.Open to many options for employees development.Awesome Place  with huge perks,,[]
963,5.0,Great place to work,"Great place to work, more carrier opportunities, top facilities and awesome atmosphere at work place. Good management and Best place for both experienced and freshers.",,[]
964,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,[]
965,4.0,Challenging and fun with intense deadlines,You work with great people and in a fluid environment.  There's a saying there where you have to 'thrive in ambiguity' which sums up the environment well.,,[]
966,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
967,5.0,I love working with Google.,I want to Express my feelings with google organization.  It is like my dream company.  Good environment and more fun. I would love to go back in google company but on direct employment not with 3rd party payroll.,,[]
968,5.0,Uma otima experiência,"Foi uma da melhores empresas que trabalhei. Atuei como mapeador de vias públicas, foi uma atividade que desejo voltar a exercer.",Oportunidade de crescimento profissional,[]
969,3.0,Good,"Great futuristic company. Fun environment. Young bright minds to work with. Open culture and focused on productivity. Life is good and one can learn from all angles, all tiers.",,[]
970,4.0,Productive workplace with plenty of benefits for a healthy work life balance,Great company depending on the team and executive.  Great benefits for the folks wanting to stay on campus for many of them and the culture very much promotes creativity.,,[]
971,5.0,Good company to work with,"I like the culture of the company, lots of new ideas and support floating around. 80-20 is a good rule too Company invests in employees pretty wellLots of events, networking opportunities","Free food, nice work culture",[]
972,4.0,Productive Environment,"Superb work culture and Employee friendly company.Google's culture is flexible (employees are encouraged to work when they like and how they like), fun (offices have nap pods, video games and ping pong) and founded on trust.",,[]
973,5.0,No Words,"Working at Google is the best! Unfortunately, they barely give a chance for outside hires, usually are contract jobs and those do not have all the benefits, including the full-time position that is the biggest perk in my opinion.",,[]
974,4.0,Ambiente de trabajo relajado,Empresa flexible en cuanto a ocupaciones personales.,,[]
975,3.0,Great Place to Work as a Software Engineer,"good place to work for software. Software teams are well balanced, have great leadership, and seem to be very happy at work. Perks are great and can help make up for the work/life balance.",,[]
976,4.0,Vendor Experience,MSP was not treated as fairly as they should have for a vendor at Google.  The perks Google provides were nice and helped provide more time to focus on work.,,[]
977,5.0,great people & the best work environment,"Google is a wonderful place to work. The people you work with are among the best you'll ever meet, the work is diverse, and you're able to take calculated risks in your day-to-day job.",,[]
978,4.0,productive work env,excellent company and good work culture. Challenging environment and flexible work hours . its fast paced environment. I would like to recommend to experience google projects,,[]
979,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,[]
980,5.0,Great time there,"Great learning opportunities, interesting projects most of the time. Good life balance. Great commute time, Not sure why to write 150 characters, too much.",,[]
981,5.0,Digital Strategist,"Sales Representative for the Italian market.Define digital marketing strategies pitching Google Ads solutions to clients with high potential. Email Marketing.",,[]
982,5.0,Excelente ambiente,Fácil interactuar con el personal así como con los supervisores o coordinadores,Salarios competitivos,[]
983,4.0,Dead End TVC Experience at Google,"I learned a TON working with the people in this office and the environment is like working in a resort. Everyone on my team was incredibly respectful of the learning curve I had to go through and supported me along the way. My primary issue was with management, we were largely left to fend for ourselves and our team was dissolved with very little notice to us. Despite being such an accomplished company, temporary employees/contractors are largely treated as disposable/ignored.",,[]
984,2.0,productive,The startup was small but awesome to work with. I would come back here but only as a full-time employee. the benefits were nice but I wish there were more ways to move up.,,[]
985,5.0,Marketing,"Design of promotional materials, video editing and other special duties.Plan, co-ordinate and implement marketing campaigns and events.Database design & analysis, Pattern & trend identification, Visualization of data insights.",Nice Boss,[]
986,3.0,Good Atmosphere,"In general, people are very cooperative and approachable. However, working as a contractor or vendor discrimination is quite evident.  The management is unskilled, most of then very junior and without background.",Free lunch and Gym,[]
987,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
988,5.0,Best company to work with,The company has the best culture in industry. Working there is the best thing for any talent employee. You can work with smartest people and enjoy many good peers. The culture is super healthy!,,[]
989,5.0,Red Lee Services LLC,The people we worked with at Google became family to me. Some of my best friends are people that work at Google.  The atmosphere is very laid back. You do your job and then if you see someone needs help you jump in. Everyone believes in the buddy system there. You're treated like family for the most part. Some days are hard but that's your job.,,[]
990,4.0,Lots of pre-built things and maybe some hubris,"I have a lot of experience writing software for over twenty years. If something wasn't working right, usually it was allowed to persist or something else was already built as a bandaid. Wonderful people. Wonderful products. Boss wonderful. Just not able to challenge the status quo. ""At google, we do it this way""",Every kind of software already built,[]
991,4.0,Great job!,"Great place to work especially if you can get on as a full-time ""Googler"".  A large number of employees are contract and/or vendor roles.  Becoming an actual employee of Google is tough.",Free breakfast and lunch daily,[]
992,4.0,Good Company,Good company - My manager was weak but I know many people there who had great managers. The work is interesting but there are too many meetings or crazy projects that get in the way of true priorities.,,[]
993,4.0,Environnement de travail agréable,"J’ai travaillé chez Google via une société sous traitante ce qui fait que je ne suis pas mieux placé pour noter à fond cette structure. Bref les Googlers sont toujours mieux traité que les Vendors. Et leur façon de manager les contrats avec les sociétés sous traitantes ne garantit pas le boulot des employés de ces dernières car Google change de sous traitants comme on change les couches des bébés. Et c’est unfair pour les employés qui à un moment donné sont forcés à quitter le site qu’ils aiment bien et les gens avec qui ils étaient déjà habitués. Si non c’est un environnement plutôt top niveau pour le travail. Déjà tout est offert gratuitement du petit déjeuner, déjeuner, goûter, salle de gym, de danse, de jeux etc...","La gratuité en repas, sport, jeux",[]
994,4.0,Très bonne structure d'accueil,Un environnement et des responsabilités qui m'ont permis de me développer personnellement et professionnellement. Merci Google !!!,,[]
995,2.0,Nice project but bad business pratices,"I cannot give a honest review of Google, the reason is because the culture of Google in the US is not the same as it is oversea. For example, I felt sick three months after working with Google/ C Squared in Liberia and I had to come back to the US for medical treatment, I insurance was cancelled before  I left with out my knowledge.",,[]
996,4.0,Good job perks,Enjoyed the assortment of foods as well as the gym classes offered. Snacks and drinks were additionally a nice benefit that would help throughout the day,,[]
997,4.0,Ambiente de trabajo agradable,"Excelente empresa, ambiente de trabajo excepcional, trato humano con sumo respeto,oportunidades de crecimiento, trabajo de alto perfil,politicas bien definidas, prodigan confianza, el recurso humano para ellos es muy importante.Guardo mis mejores recuerdos y gratitud, por las deferencias de las que fui objeto durante mi permanencia. ¡¡¡ Gracias Google !!!.",El bienestar y estabilidad emocional de la que goza el empleado,[]
998,5.0,Negotiation Skills,"Don't feel stressed about it, cause is too easy, just do merchandising studies and focus your porpoises with the Enterprises and let the success that you want",,[]
999,5.0,Great place to work unless you're a contract employee,"Upper management doesn't value anything but profit numbers, unfortunately just like the corporations Google was trying not to become. Otherwise, the atmosphere, other employees, and work environment was fantastic.",,[]
1000,5.0,Ambiente de trabajo,Muy bueno exelente ambiente laboral me hizo tener más experiencia,,[]
1001,5.0,Remote work with own time schedule.,"My work was contractual and remote. I set my own schedule and worked at my own pace with a very manageable quota. There were specific guidelines to follow regarding the thoroughness and quality of the work, but semantics and the nature of advertising and localization sometimes made these difficult to adhere to.",,[]
1002,5.0,Good,"Great place to work. Great people and friendly people to work with.Great benefits.Great pay, good schedule, also great managers.Fast and easy pace to work with.",,[]
1003,5.0,Good company to work for,"Good friendly company, loads of company benefits. Money not the best. Very relaxed working environment, dressed down appeal. Not many long hours with easy access to all sights",Free lunch,[]
1004,5.0,Google Express,The same day delivery service was efficient and fun to work for. I was hired for the position through Adecco. Positive culture and fun working environment.,,[]
1005,5.0,Productive & fun place to work,"Google is a great place to work. Employees have their own freedom to work. Also, there are lots of opportunities to learn. free foods & napping pods make that even better.","freedom to do the job, free food",[]
1006,4.0,"Buen ambiente de trabajo, varias regalias","Aunque fue una experiencia muy positiva poder trabajar en Google UK, los contratos eran todos temporales",,[]
1007,5.0,"Enjoyed working at Google, learned a lot.","It was one of the most beneficial, rewarding experiences in my work career. It helped in boosting my confidence in implementing certain skills for our projects. My team was really supportive in each other and it helped us improve in everything that we did.",,[]
1008,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
1009,2.0,"Good compensation and work/life balance, management-heavy culture","The good:- Very little overtime.- Good compensation. The bad:- Poor tools, uninteresting (IMO) work that gets frequently cancelled.- Extreme focus on management over development, and lots of mostly superfluous meetings. - Promotion above mid-level is almost exclusively limited to management roles, and is heavily politicized.",,[]
1010,4.0,Gran ambiente laboral con muchos commodities,"Increíble lugar para mentes esquematizadas, soluciones estratégicas y ejecutar el liderazgo. El día está organizado de principio a fin cada quien sabe con claridad qué se espera de ellos y cuales son las metas que debe cumplir en su día, cuál es el avance de su desempeño, semanal, mensual y trimestral. Somos habilitados con los conocimientos de gestión y administración de cuentas más modernos, habilidades gerenciales y coaching.Además el CRM utilizado nos permite ver con claridad el histórico de actividades por unidad de negocio y por cuenta. Reuniones de evaluación y definición de objetivos  Análisis de alternativas de generación de negocioMonitoreo de ejecutivosCoaching en planeación de campañasSoporte a la presentación de propuestas de campañaSeguimiento a la implementación de campaña",La experiencia y los conocimientos adquiridos,[]
1011,3.0,Cool Environment with Not so cool job,"amazing place to work as a whole! However, work happiness is directly related to the team you join and the culture of that team and it's role in the business.",,[]
1012,3.0,Ok job,"Not a bad place to work, even if temporary.   I would not however, suggest this job to anyone who is looking for a sit down, office environment, as it will require some time outdoors.",,[]
1013,4.0,Lot of extra activities apart from work. Which really helps in relaxation.,Excellent place to work. Lot of potential to learn about the technology and how it works. Amazing colleagues to work with a loot of helping nature. Top notch management.,Free food through the day,[]
1014,4.0,Apigee Sector,Google is a great place to work with awesome culture. There's a lot of changes right now with new leadership.  So much is yet to be determined. Right now a bit disjointed from the field sales teams to executive leadership.,Great company and pers,[]
1015,5.0,Fun work,"Can have fun at work and good place to gain knowledge .Wipro Technologies provides awesome training(3 months) to the freshers. It is essentially very helpful to those who dont have computer background like guys who dint take computers as a subject in schools and/or belonged to a non-circuit branch in Engineering. It helps guys who have a computer background in refresh their knowledge. The idea behind this training is to bring the computer guys and the non computer guys to the same level before starting to work for wipro technologies. Sometimes you feel that the training is too difficult but later on you realise its worth. They conduct frequent training sessions on latest technologies also, which is free for all and anyone can participate(freshers and experienced both). Wipro provides mass transportation services. They ensure that the employees reach safely to their homes no matter when the employee wants to go home. They provide bus and cab services. Your work is appreciated. Competetive environment.",,[]
1016,5.0,Fun Workplace,"Good interesting and fun workplace. We have develop in google application and up to my death I live improve new technology.. There is no officially declared fixed timing. Just have to make sure you are on time for meetings and are able to complete your work. Generally, most employees come around 9-10am, and leave at around 7-8pm. Apart from this, Google also lets you work from home in case a situation turns up. Google also refunds for your  internet connection at home and provides a 19 inch monitor to work at home. What more could one ask for.",,[]
1017,5.0,Great company,Great collaborative and engaging company geared to enhance the future. Caring and flexible towards their employees. Top workforce company of the modern era,,[]
1018,5.0,Excellent place to work.  Fun and challending.,"Great working environment, and even greater people.  Very challenging; however, there is so much support available. My leaders were excellent.  They were supportive and understanding.","Free breakfast, lunch and dinner",[]
1019,5.0,Contract Dance Instructor - Great Experience,"Mostly easy to work with, and the pay is great. Only issue I had was scheduling changed often, which made it hard to maintain other regular teaching around these classes.",,[]
1020,3.0,productive and helpful management.,Working at the company was very beneficial due to the perks.  Access to the Google campus was amazing.  The management at my position at the time was good as well. The only cons were the incompetence of higher up communication and rules.,,[]
1021,5.0,Exemplary Innovative Environment,Loved my work. Still cannot find the same level of expertise and collaboration and excitement and innovation as I had at Google. By far one of the best places to work at.,,[]
1022,5.0,great place to work,It was some of the best experiences I have ever had I wish I continued however life got in the way! If you are a competitive person than this is the way to go.,"employee perks, great pay, great people, competitve",[]
1023,5.0,Tolle Menschen,Google schafft es die besten Leute anzustellen und diese zu fördern.,,[]
1024,4.0,Lots of great amenities,Free food everywhere with flexible work hours. It was great work opportunity to experience a laid back corporate environment. If you're able I'd highly recommend applying here.,,[]
1025,5.0,Productive and Great Place to Work,"Can't say anything negative. It's truly  a place that cares about their employees and fostering meaningful relationships. Plus, there are plenty of opportunities for growth.",Free lunches,[]
1026,4.0,Great,"Fun and inviting environment with game rooms, free snacks/drinks, etc. Very unique and vibrant place to work! I enjoyed coming to work each and every day.",,[]
1027,5.0,It’s a good and interesting place to work learned a lot about different positions like prep cook and FOH,"Really fun and a lot of enthusiasm going around, learned a lot more about other positions got to to take on difficult assignments and the hardest thing was when the dish washing maschine would malfunction",,[]
1028,4.0,"Can work on incredible projects, environment OK",Google has an incredible array of projects and is constantly adding new ones.  Many of these are completely game changing from the well known ones like Waymo to the under the radar ones like terrestrial FSOC. The culture has changed too from its early days when it was great.,,[]
1029,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
1030,5.0,Great work environment.,It was a great place to work I had fun during my time there. I would recommend Google to anyone looking for employment.  I wouldn't have left if my contract did not expire.,,[]
1031,5.0,Very organized and all cleaning supplies in order,Enjoyed working for Google and had good relationships with the co-workers there.  They had many helpful tips and advice on how to clean the hard to reach areas.,,[]
1032,2.0,Terrible departments make for terrible lives,"I almost never knew the ""greater picture"" of where my team was headed, because the entire department seemed to have no clue. I would be told something by someone on my team who heard it in passing from our manager, and then the exact opposite would happen in two weeks. Even when that manager quit, the same things kept happening, and even when I switched teams (within the same department), so I believe the entire department was rotting from the head. I saw excessive amounts of waste at every turn. Corporate culture is one of laziness and complacency, to the point where trying to pick up extra work that is technically beyond the scope of your job title will actually penalize you. I had to argue for weeks to convince a senior engineer to make a one line, basic change to top of rack switch because he simply didn't want to do it, and there was literally no recourse for me (I quit before he did, if he ever did). There are also some really sketchy activity going on inside, and attempts at bringing said activity to light will most likely only end poorly for you. Overall, it started off great when I was still enamored by the name ""Google"" and was but a lowly peon. But as my team members quickly quit and my responsibilities expanded to encompass their old duties (because hiring for your team is also a nightmare), I saw more and more of the grit beneath the glamor. I have no intention of ever working for Google again. I do feel I need to say that the Facilities team gets stuff done, though. Every interaction I had with them was pleasant, every ticket I submitted was resolved - more...","Free food, free (or discounted, if you're a contractor) travel to anywhere in the bay area",[]
1033,4.0,I learned a lot,A lot of freedom to get work done. Loved it. I would recommend this company to family and friends. Fun place to work and be around like-minded people.,Free lunch everyday,[]
1034,4.0,employer keeps good relationship with temporary worker,"As a temporary worker, I feel the employer paid me fairly.   Individualized ""thank you card"" from my manager is appreciated.  This is very impressive.",,[]
1035,5.0,Fun workplace,Great place to work with great perks. you will be working with some of the smartest people. you will get flexibility to work on the projects that you like.,,[]
1036,5.0,Best place that I've EVER worked!,"Great culture and they seemed to care. Constantly push ""ethics"" in business practices. Pride in the company encouraged quality products. Atmosphere was always pleasant and playful at times.",,[]
1037,4.0,Nice,Nice but I don't have time to share all this information right now. Thank you for asking though. I'm just filling the 150 character requirement here...,,[]
1038,5.0,Great Place,"Great place to work. Really helped further my skills. Not a fan of the high cost of living in the bay area. Otherwise, lots of great opportunities and would recommend.",,[]
1039,5.0,Worked as Analyst,"Worked as Analyst. Review the user info and update on Google Maps. Check for the Satellite and the street View and also the GPS. Wonderful Experinece working with Google",,[]
1040,5.0,Laid Back,"Google was a great experience, So many people from all walks of life joining together for one common goal. Provide the world with excellent service and Support.",,[]
1041,4.0,Fun Place to work,Great place to work and has a lot of perks while working such as free snacks and free lunch. Google has a lot of things that keep employees motivated to come to work and perform at their best,,[]
1042,5.0,Nice place to work,"Productive and fun workplace. Management and promotion are rare, as there is not a merit system. Promotions are based on who you know. Workplace culture is okay, as you are always meeting people from other places. The hardest part of the job is not getting the overtime and having your paycheck correct. The most enjoyable part of the job is assisting the people in need of assistance.","Free Gym, laundry and meals",[]
1043,5.0,Cant Complain,"Everything you could ever want and all the benefits you would need for your family and yourself as well is always a given at Google. Money is never a issue,",,[]
1044,5.0,good,working for good was a good and fun job. I enjoyed travelling and doing google maps.  I was very very nice to go to mountain view and see everthing and nice people,,[]
1045,5.0,Hugely rewarding!,Great place to either start a security career and catapult and existing one!!   Food and are hugely rewarding as a contracted employee.   Google employees watch out for one another!!,Food!,[]
1046,5.0,Fun Work Day,I did set up and tear down for events.  Every day I was well fed and taken care of. The most enjoyable part of the job was being able to use the bicycles.,,[]
1047,5.0,Excellent place to work!,"Google offers various learning opportunities for their contractors, interns and employees.   The resources available, recognition and perks are outstanding.",,[]
1048,4.0,"Productive and fun place to work with free snacks, television and computer access during breaks.","Working on the Google MDP Project was fun. My co-workers were fun and easy to get along with and the managers were capable and professional.The work itself was easy to learn, if sometimes boring.If given the opportunity, I would work there again.",,[]
1049,4.0,Exciting and Flexible,"As a contractor, I had a more strict schedule. My day was divided into 3 sections with different tasks. I was expected to finish them within the duration. However, if I had to leave early for my personal issues, I only have to notify my supervisors and finish the rest of the task the next day. The flexibility was really helpful and enjoyable. I also learned to manage my time during each section because of different priorities. Overall, I think the hardest part was to learn all the technologies that were used for the tasks. Nevertheless, once I got it down, I was able to finish everything really quickly. Last but not least, free meals and facilities really save me a lot of money. I could work out after work, enjoy different types of cuisine and do laundry when I arrive.",Free lunch,[]
1050,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
1051,5.0,Amazing company.,"Being contracted by Google was an amazing experience, they are a wonderful company and treat their employees like family. The most enjoyable part of my job was being able to organize events and keep everyone stress free.",,[]
1052,1.0,Be careful,"The conditions were not safe management was a joke.  OSHA was call and they cut our hrs, and trying to get relocated for more hours they refused to even try to work with us",,[]
1053,5.0,Excelente lugar para trabajar,"Excelentes planes de carrera laboral y salarios, planes de vacaciones y estimulos fiscales.",Nivel Mundial,[]
1054,3.0,Great company with good work/life balance,"Best thing at Google is about work/life balance and compensation. Also the people here are super clever.We used a lot of internal tool, so when we find new jobs, it is kind of hard to explain what you did here.",,[]
1055,4.0,An excellent place to start you career and learn the basics. Not much room to grow.,"Pros:+ At Google you're standing on the shoulders of giants. They've built the best developer tools and a wealth of great internal documentation for technologies and engineering practices. During my first few months at Google I learned a ton from internal resources and learning about their technical infrastructure.+ Overall good culture of transparency, giving voice to employees, and trying to make sure employees are happy.+ Good compensation. Cons:Google is huge, and this has a number of consequences. For one, many engineering teams move very slowly. Lots of red tape, and lots of huge systems to integrate with. Very deep management chains. For an individual contributor, decisions may be made many levels above you and you have very little input or context. Depending on the team, it can be hard to have meaningful impact at Google. Some systems are so old they are already fully optimized, others are just so large that you're unlikely to touch more than a small piece or sub system. Most engineers at Google aren't solving the worlds hardest/funnest problems--their just manning the ship, making sure things don't break and adding small incremental improvements. Getting into ""sexy"" product areas is extremely competitive.",,[]
1056,5.0,Muy bueno,"Muy buen lugar de trabajo, buen ambiente laboral. Un poco desorganizados los operativos pero en general bien.",,[]
1057,5.0,Productive Job.,Excellent internship program. I have learned the best practices of communication while working on the project. This project not only gave me a chance to learn new technologies but also helped me improve my career as a Software Developer.,,[]
1058,4.0,Motorola Dept,we were all laid off so they could take our phones and rebrand them pixels. they used the motorola company of all its software and dumped us.  better off now,,[]
1059,4.0,Working For Google,Working for Google was both challenging and interesting and a Place i would highly recommend or even apply for again. The culture their is relaxed and supportive. It was a Position you could move up in and learn through.,"Snakes provided, Clean, Competitve",[]
1060,4.0,"Great benefits, smart people, small impact","Great benefits and perks. Lots of very smart people working. Some work on cool things. But you will mostly likely be just a cog in the machine, working on small insignificant features or trying to gin up more ad revenue.",,[]
1061,5.0,Employees are taken care of,"Employees get a lot of benefits: Free food on campus Commute is solved: buses, or bike purchase credits, and others Massage credits once a year Good gyms on campus 401k matching Great health benefits",,[]
1062,5.0,Good place to work,"My experience working at Google was good overall. It has a laid back atmosphere, but make sure you make some friends because it can be pretty cut-throat at times.",Free food,[]
1063,4.0,Best company,Work life balance is the best and the amenities are even better. company makes sure to organize team building and time to enjoy life. Depending on the department i need to say. I love it.,Amenities,[]
1064,5.0,Relaxed workplace,"Working here didnt involve too much of heavy lifting. I worked in a comfortable warehouse with a controlled thermostat. A typical worked day involved building materials for the assembler line or testing the materials. Here i learned many competitive aspects of google and how serious it was to keep their production secured. The management was okay to an extent, there would be alot of back up days when there was no work to do. Alot of young people worked at this warehouse but it did provide a diversity of different cultural backgrounds. The hardest part of the job was the added on stress from high-demand and the most enjoyable was working with the different employers.","Benefits, Pay",[]
1065,4.0,Self Employed not relevant,"I am a Google Business Verifier, Google Trusted Photographer and Google My Business Specialist. Google simply provide me the platform but do not manage me activities.",It's Google,[]
1066,4.0,Productive and fun workplace,I really enjoyed working on the Google campus. It was such a fun work environment. I will work there again if possible. I was contracted in from an outside agency. still was a great experience and i feel like i was an asset to the company even though I was just apart of kitchen crew.,free lunches,[]
1067,3.0,"Nice company, but hit or miss for contractors","The regular employees were of course mostly happy there. The multiple cafetria and food choices are very popular. I had 2 contracting positions. First one was good experience. 2nd one not so good - the manager didn't seem to treat contractors right. All contractors were internally very frustrated and complained.",,[]
1068,2.0,Vendor employee,"Cognizant is our vendor and is the worst ever company I ever worked for, not recommended at all to anyone to work for a vendor, Google chooses this vendor to enslave the people",No,[]
1069,5.0,Productive and fun loving place,"A Typical day at Work: Its always Exciting learning about new features and Testing the Application,management was very friendly and co-operative,work culture also very friendly.",Free lunch,[]
